,trial_ID,ROIs,frequency,volume,waveform,wave_arrays,time spent,visitation count,trial_start_time,end_trial_time,mouse_enter_time
0,1,ROI1,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
1,1,ROI2,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
2,1,ROI3,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
3,1,ROI4,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
4,2,ROI1,440,50,sine,"[ 0.          3.13241621  6.25252618 ... -9.34807204 -6.25252618
 -3.13241621]",,,,,
5,2,ROI2,550,50,sine,"[  0.           3.91407743   7.80413254 ... -11.64629042  -7.80413254
  -3.91407743]",,,,,
6,2,ROI3,660,50,sine,"[  0.           4.69477729   9.34807204 ... -13.91876824  -9.34807204
  -4.69477729]",,,,,
7,2,ROI4,770,50,sine,"[  0.           5.47432403  10.88282791 ... -16.16048287 -10.88282791
  -5.47432403]",,,,,
8,3,ROI1,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
9,3,ROI2,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
10,3,ROI3,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
11,3,ROI4,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
12,4,ROI1,550,50,sine,"[  0.           3.91407743   7.80413254 ... -11.64629042  -7.80413254
  -3.91407743]",,,,,
13,4,ROI2,770,50,sine,"[  0.           5.47432403  10.88282791 ... -16.16048287 -10.88282791
  -5.47432403]",,,,,
14,4,ROI3,440,50,sine,"[ 0.          3.13241621  6.25252618 ... -9.34807204 -6.25252618
 -3.13241621]",,,,,
15,4,ROI4,660,50,sine,"[  0.           4.69477729   9.34807204 ... -13.91876824  -9.34807204
  -4.69477729]",,,,,
16,5,ROI1,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
17,5,ROI2,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
18,5,ROI3,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
19,5,ROI4,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
20,6,ROI1,770,50,sine,"[  0.           5.47432403  10.88282791 ... -16.16048287 -10.88282791
  -5.47432403]",,,,,
21,6,ROI2,550,50,sine,"[  0.           3.91407743   7.80413254 ... -11.64629042  -7.80413254
  -3.91407743]",,,,,
22,6,ROI3,440,50,sine,"[ 0.          3.13241621  6.25252618 ... -9.34807204 -6.25252618
 -3.13241621]",,,,,
23,6,ROI4,660,50,sine,"[  0.           4.69477729   9.34807204 ... -13.91876824  -9.34807204
  -4.69477729]",,,,,
24,7,ROI1,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
25,7,ROI2,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
26,7,ROI3,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
27,7,ROI4,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
28,8,ROI1,440,50,sine,"[ 0.          3.13241621  6.25252618 ... -9.34807204 -6.25252618
 -3.13241621]",,,,,
29,8,ROI2,770,50,sine,"[  0.           5.47432403  10.88282791 ... -16.16048287 -10.88282791
  -5.47432403]",,,,,
30,8,ROI3,660,50,sine,"[  0.           4.69477729   9.34807204 ... -13.91876824  -9.34807204
  -4.69477729]",,,,,
31,8,ROI4,550,50,sine,"[  0.           3.91407743   7.80413254 ... -11.64629042  -7.80413254
  -3.91407743]",,,,,
32,9,ROI1,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
33,9,ROI2,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
34,9,ROI3,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
35,9,ROI4,0,0,none,[0. 0. 0. ... 0. 0. 0.],,,,,
