"Trial type	reward location",motor1 angle,motor2 angle,motor3 angle,motor 4 angle,reward area
1,90,180,90,180,1
2,180,90,180,90,2
3,90,180,90,180,3
4,180,90,180,90,4
5,90,180,90,180,1
6,180,90,180,90,2
7,90,180,90,180,3
8,180,90,180,90,4
9,90,180,90,180,1
10,180,90,180,90,2
11,90,180,90,180,3
12,180,90,180,90,4
13,90,180,90,180,1
14,180,90,180,90,2
15,90,180,90,180,3
16,180,90,180,90,4
17,90,180,90,180,1
18,180,90,180,90,2
19,90,180,90,180,3
20,180,90,180,90,4
21,90,180,90,180,1
22,180,90,180,90,2
23,90,180,90,180,3
24,180,90,180,90,4
25,90,180,90,180,1
26,180,90,180,90,2
27,90,180,90,180,3
28,180,90,180,90,4
29,90,180,90,180,1
30,180,90,180,90,2
31,90,180,90,180,3
32,180,90,180,90,4
33,90,180,90,180,1
34,180,90,180,90,2
35,90,180,90,180,3
36,180,90,180,90,4
37,90,180,90,180,1
38,180,90,180,90,2
39,90,180,90,180,3
40,180,90,180,90,4
41,90,180,90,180,1
42,180,90,180,90,2
43,90,180,90,180,3
44,180,90,180,90,4
45,90,180,90,180,1
46,180,90,180,90,2
47,90,180,90,180,3
48,180,90,180,90,4
49,90,180,90,180,1
50,180,90,180,90,2
51,90,180,90,180,3
52,180,90,180,90,4
53,90,180,90,180,1
54,180,90,180,90,2
55,90,180,90,180,3
56,180,90,180,90,4
57,90,180,90,180,1
58,180,90,180,90,2
59,90,180,90,180,3
60,180,90,180,90,4
61,90,180,90,180,1
62,180,90,180,90,2
63,90,180,90,180,3
64,180,90,180,90,4
65,90,180,90,180,1
66,180,90,180,90,2
67,90,180,90,180,3
68,180,90,180,90,4
69,90,180,90,180,1
70,180,90,180,90,2
71,90,180,90,180,3
72,180,90,180,90,4
73,90,180,90,180,1
74,180,90,180,90,2
75,90,180,90,180,3
76,180,90,180,90,4
77,90,180,90,180,1
78,180,90,180,90,2
79,90,180,90,180,3
80,180,90,180,90,4
81,90,180,90,180,1
82,180,90,180,90,2
83,90,180,90,180,3
84,180,90,180,90,4
85,90,180,90,180,1
86,180,90,180,90,2
87,90,180,90,180,3
88,180,90,180,90,4
89,90,180,90,180,1
90,180,90,180,90,2
91,90,180,90,180,3
92,180,90,180,90,4
93,90,180,90,180,1
94,180,90,180,90,2
95,90,180,90,180,3
96,180,90,180,90,4
97,90,180,90,180,1
98,180,90,180,90,2
99,90,180,90,180,3
100,180,90,180,90,4
