hit,miss,incorrect,rew_location,area_rewarded,time_to_reward,trial_start_time,end_trial_time,mouse_enter_time,first_reward_area_visited,entrance1,entrance2,rewA,rewB,rewC,rewD,rew_location.1,state_sequence,video_segment_path,matched_trial_id,avg_speed_px_per_frame,max_speed_px_per_frame,min_speed_px_per_frame
,,1.0,D,,,0.0,84717.0,31662.0,rewC,1596.0,1838.0,2112.0,7437.0,2308.0,11339.0,D,"1,4,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_000.mp4,trial_000,1.1279487274193851,19.224634999999978,0.0
,,1.0,A,,,84730.0,193521.0,91824.0,rewC,1333.0,1906.0,1646.0,,9341.0,7809.0,A,,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_001.mp4,trial_001,1.1637182973244131,3.1481261283499973,0.0
,1.0,,A,,,193533.0,214005.0,203808.0,,1206.0,880.0,,,,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_002.mp4,trial_002,1.3834620570420086,15.317684706159092,0.0
,,1.0,C,,,214016.0,250332.0,224351.0,rewB,2576.0,214.0,,23233.0,,,C,"1,4,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_003.mp4,trial_003,0.6059709687210199,10.655323811627007,0.0
,1.0,,B,,,250348.0,336810.0,,rewB,861.0,582.0,6986.0,39330.0,10756.0,7986.0,B,,,,,,
,1.0,,D,,,336813.0,391850.0,346750.0,,4406.0,3027.0,,,,,D,,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_004.mp4,trial_004,0.45233229124979,8.129626048204829,0.0
1.0,,,B,B,11728.0,391864.0,436054.0,392814.0,rewB,3447.0,4888.0,,5447.0,4131.0,1139.0,B,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_005.mp4,trial_005,0.7533233008182171,18.173020003365586,0.0
1.0,,,D,D,14398.0,436066.0,599782.0,443983.0,rewD,1045.0,567.0,3485.0,34285.0,2630.0,55909.0,D,"2,4,1,4,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_006.mp4,trial_006,0.5053424810325028,12.322484775807194,0.0
,1.0,,B,,,599798.0,614598.0,613004.0,,643.0,340.0,,,,,B,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_007.mp4,trial_007,3.0299942843042134,13.096418846391234,0.0
,,1.0,D,,,615528.0,664969.0,639661.0,rewC,1282.0,1937.0,,1077.0,1284.0,,D,"1,4,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_008.mp4,trial_008,1.2048511931761172,15.933270254687198,0.0
,1.0,,A,,,664983.0,746890.0,746388.0,,971.0,1860.0,,,,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_009.mp4,trial_009,2.04421070657276,7.204406798972175,0.0
,,1.0,B,,,746906.0,797466.0,782583.0,rewC,541.0,552.0,,1199.0,1414.0,2178.0,B,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_010.mp4,trial_010,1.9892857219724174,14.291499999999985,0.0
,1.0,,C,,,797476.0,837132.0,836005.0,,372.0,360.0,,,,,C,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_011.mp4,trial_011,5.939808440302608,18.6841762103807,0.0
,1.0,,A,,,837144.0,878602.0,875164.0,,1481.0,342.0,,,,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_012.mp4,trial_012,2.3293221208713195,12.318315147778906,0.0
,,1.0,B,,,878615.0,943616.0,933182.0,rewA,790.0,486.0,1939.0,769.0,,,B,"1,4,1",C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_013.mp4,trial_013,1.9555670925249666,24.302854999999965,0.0
,1.0,,A,,,943632.0,979016.0,,,1076.0,126.0,,,,,A,1,C:\Users\shahd\Box\Awake Project\Maze data\simplermaze\mouse 6357\2024-08-28_11_58_146357session3.6\segments\6357_2024-08-28_11_58_14s3.6_trial_014.mp4,trial_014,1.1465819656539964,11.854803193465056,0.0
